n,F(N),Mult(n)
0,1,0
1,1,0
2,1,0
3,3,1
4,6,3
5,12,6
6,26,10
7,57,15
8,125,21
9,279,28
10,630,36
11,1433,45
12,3285,55
13,7584,66
14,17611,78
15,41109,91
16,96416,105
17,227088,120
18,536896,136
19,1273763,153
20,3031485,171
21,7235573,190
22,17315668,210
23,41539777,231
24,99877435,253
25,240645375,276
